Date,EMU,FAR EAST,JAPAN,NORTH AMERICA,PACIFIC ex JAPAN
31/08/1992,146,2344.54,2372.13,420.21,443.6
30/09/1992,142.08,2291.64,2313.66,421.54,435.1
30/10/1992,133.91,2212.65,2204.66,423.51,447.41
30/11/1992,132.13,2252.13,2260.1,434.63,437.5
31/12/1992,132.22,2211.56,2225.16,438.72,439.78
29/01/1993,135.01,2209.64,2216.38,440.88,441.76
26/02/1993,141.02,2310.73,2310.72,446.63,474.44
31/03/1993,145.66,2600.24,2634.12,454.94,481.17
30/04/1993,146.76,3035.82,3100.61,445.3,504.49
31/05/1993,145.84,3128.72,3184.27,455.35,522.58
30/06/1993,142.99,3075.46,3138.35,455.45,505.52
30/07/1993,144.09,3248.57,3335.34,453.75,522.14
31/08/1993,159.23,3339.23,3406.32,468.34,560.37
30/09/1993,158.03,3209.89,3242.65,461.66,569.95
29/10/1993,163.49,3262.95,3226.18,470.63,660.85
30/11/1993,156.83,2786.04,2689.1,465.97,639.83
31/12/1993,167.99,2971.18,2772.78,471.5,771.43
31/01/1994,173.9,3314.5,3218.81,488.36,748.98
28/02/1994,170.13,3414.63,3364.27,472.96,711.23
31/03/1994,170.04,3228.24,3218.66,451.43,634.37
29/04/1994,179.27,3366.22,3354.16,456.14,662.46
31/05/1994,170.7,3439.42,3425.99,462.58,682.91
30/06/1994,166.56,3566.23,3593.28,447.58,651.23
29/07/1994,177.25,3474.42,3462.58,462,684.11
31/08/1994,180.32,3525.94,3484.5,479.63,728.62
30/09/1994,171.85,3440.35,3396.81,469.69,708.03
31/10/1994,177.96,3523.76,3488.24,478.46,717.95
30/11/1994,170.74,3321.32,3311.03,460.52,658.87
30/12/1994,171.27,3340.16,3347.37,466.32,647.2
31/01/1995,170.22,3124.3,3150.47,476.05,589.86
28/02/1995,174.75,3034.46,2996.6,494.2,643.43
31/03/1995,179.73,3280.4,3270.42,506.85,648.68
28/04/1995,187.02,3411.46,3428.04,521.36,655.72
31/05/1995,189.17,3268.94,3213.47,540.76,698.65
30/06/1995,190.44,3121.88,3057.96,552.81,683.87
31/07/1995,200.97,3341.69,3299.46,570.06,710.5
31/08/1995,190.25,3203.13,3165.12,569.08,690.09
29/09/1995,191.7,3233.13,3190.28,592.04,697.34
31/10/1995,188.64,3066.78,3010.22,590.48,683.45
30/11/1995,189.17,3222.75,3186.76,615.18,687.87
29/12/1995,196.21,3384.06,3348.08,623.24,713.28
31/01/1996,202.07,3382.16,3302.52,644.92,759.03
29/02/1996,204.29,3332.92,3242.15,649.9,768.87
29/03/1996,205.23,3440.24,3355,655.71,777.16
30/04/1996,207.38,3615.02,3544.15,665.19,796.84
31/05/1996,209.55,3449.1,3360.21,681.46,787.08
28/06/1996,211.94,3453.4,3376.47,683.18,770.73
31/07/1996,207.13,3290.06,3223.71,652.46,730.37
30/08/1996,208.52,3182.19,3078.09,666.69,761.51
30/09/1996,214.44,3291.4,3183.24,702.33,779.43
31/10/1996,216.34,3115.45,2968.19,721.1,799.08
29/11/1996,227.88,3195.26,3023.33,774.37,840.16
